Latitude,Longitude,TreeID,SiteID,Abbreviation
35.80416159,-106.6291843,MCN1633,160,gp138
35.80416159,-106.6291843,MCN1638,160,gp138
35.80416159,-106.6291843,MCN1645,160,gp138
35.80416159,-106.6291843,MCN1646,160,gp138
35.80416159,-106.6291843,MCN1647,160,gp138
35.80416159,-106.6291843,MCN1649,160,gp138
35.80416159,-106.6291843,MCN1650,160,gp138
35.80419437,-106.6314204,MCN310,159,gp137
35.80419437,-106.6314204,MCN311,159,gp137
35.80419437,-106.6314204,MCN312,159,gp137
35.80419437,-106.6314204,MCN313,159,gp137
35.80422465,-106.6225235,MCN326,162,gp141
35.80422465,-106.6225235,MCN327,162,gp141
35.80422465,-106.6225235,MCN328,162,gp141
35.80422465,-106.6225235,MCN329,162,gp141
35.80423982,-106.6247371,MCN124,161,gp140
35.80425727,-106.6180974,MCN323,164,gp143
35.80425727,-106.6180974,MCN324,164,gp143
35.80425727,-106.6180974,MCN325,164,gp143
35.80429055,-106.6203115,MCN943,163,gp142
35.80429055,-106.6203115,MCN944,163,gp142
35.80429055,-106.6203115,MCN946,163,gp142
35.80429055,-106.6203115,MCN947,163,gp142
35.80429055,-106.6203115,MCN948,163,gp142
35.80434968,-106.6159192,MCN210,165,gp144
35.80434968,-106.6159192,MCN211,165,gp144
35.80434968,-106.6159192,MCN212,165,gp144
35.80434968,-106.6159192,MCN213,165,gp144
35.80434968,-106.6159192,MCN214,165,gp144
35.80461633,-106.5024342,PNE-11,15,PNE
35.80502964,-106.6185612,MCN30,108,MCN
35.80533701,-106.6188956,MCN28,108,MCN
35.80568302,-106.6196683,MCN29,108,MCN
35.80592054,-106.6291096,MCN251,168,gp147
35.80592054,-106.6291096,MCN252,168,gp147
35.80593424,-106.6314228,MCN131,167,gp146
35.80593424,-106.6314228,MCN2060,167,gp146
35.80593424,-106.6314228,MCN2062,167,gp146
35.80593424,-106.6314228,MCN2128,167,gp146
35.80593424,-106.6314228,MCN790,167,gp146
35.80593424,-106.6314228,MCN796,167,gp146
35.80593424,-106.6314228,MCN797,167,gp146
35.80594947,-106.6269742,MCN1639,169,gp148
35.80594947,-106.6269742,MCN1640,169,gp148
35.80594947,-106.6269742,MCN1641,169,gp148
35.80594947,-106.6269742,MCN1642,169,gp148
35.80594947,-106.6269742,MCN1643,169,gp148
35.80594947,-106.6269742,MCN1644,169,gp148
35.80594947,-106.6269742,MCN1648,169,gp148
35.80595751,-106.633692,MCN258,166,gp145
35.80595751,-106.633692,MCN261,166,gp145
35.80595751,-106.633692,MCN262,166,gp145
35.8059785,-106.6248278,MCN259,170,gp149
35.8059785,-106.6248278,MCN275,170,gp149
35.80609411,-106.6202706,MCN243,171,gp151
35.80609411,-106.6202706,MCN246,171,gp151
35.80609411,-106.6202706,MCN247,171,gp151
35.80610558,-106.6213724,MCN03,108,MCN
35.80611645,-106.6159328,MCN207,182,gp180
35.80611645,-106.6159328,MCN208,182,gp180
35.80611645,-106.6159328,MCN209,182,gp180
35.80660143,-106.6209449,MCN02,108,MCN
35.80674611,-106.6201275,MCN04,108,MCN
35.80691174,-106.6210606,MCN01,108,MCN
35.80719669,-106.6197538,MCN05,108,MCN
35.80760711,-106.6337037,MCN1000,172,gp153
35.80760711,-106.6337037,MCN1652,172,gp153
